"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2014","1,973.30","1,962.30","1,978.60","1,962.30","","0.67%"
"06/30/2014","1,960.20","1,960.80","1,964.20","1,958.20","","-0.04%"
"06/27/2014","1,961.00","1,956.60","1,961.50","1,952.20","","0.19%"
"06/26/2014","1,957.20","1,959.90","1,959.90","1,944.70","","-0.12%"
"06/25/2014","1,959.50","1,949.30","1,960.80","1,947.50","","0.49%"
"06/24/2014","1,950.00","1,962.00","1,968.20","1,948.30","","-0.64%"
"06/23/2014","1,962.60","1,962.90","1,963.70","1,958.90","","-0.02%"
"06/20/2014","1,962.90","1,960.50","1,963.90","1,959.20","","0.17%"
"06/19/2014","1,959.50","1,957.50","1,959.90","1,952.30","","0.13%"
"06/18/2014","1,957.00","1,942.70","1,957.70","1,939.30","","0.77%"
"06/17/2014","1,942.00","1,937.20","1,943.70","1,933.50","","0.22%"
"06/16/2014","1,937.80","1,934.80","1,941.20","1,930.90","","0.08%"
"06/13/2014","1,936.20","1,930.80","1,937.30","1,927.70","","0.32%"
"06/12/2014","1,930.10","1,943.30","1,943.30","1,925.80","","-0.71%"
"06/11/2014","1,943.90","1,949.40","1,949.40","1,940.10","","-0.35%"
"06/10/2014","1,950.80","1,950.30","1,950.90","1,944.60","","-0.03%"
"06/09/2014","1,951.30","1,949.00","1,955.50","1,947.20","","0.10%"
"06/06/2014","1,949.40","1,942.40","1,949.40","1,942.40","","0.46%"
"06/05/2014","1,940.50","1,928.50","1,941.70","1,922.90","","0.65%"
"06/04/2014","1,927.90","1,923.10","1,928.60","1,918.60","","0.19%"
"06/03/2014","1,924.20","1,923.10","1,925.10","1,918.80","","-0.04%"
"06/02/2014","1,925.00","1,923.90","1,925.90","1,916.00","","0.07%"
"05/30/2014","1,923.60","1,920.30","1,924.00","1,916.60","","0.19%"
"05/29/2014","1,920.00","1,910.60","1,920.00","1,909.80","","0.53%"
"05/28/2014","1,909.80","1,911.80","1,914.50","1,907.30","","-0.11%"
"05/27/2014","1,911.90","1,902.00","1,912.30","1,902.00","","0.60%"
"05/23/2014","1,900.50","1,893.30","1,901.30","1,893.30","","0.42%"
"05/22/2014","1,892.50","1,888.20","1,896.30","1,885.40","","0.24%"
"05/21/2014","1,888.00","1,873.30","1,888.80","1,873.30","","0.81%"
"05/20/2014","1,872.80","1,884.90","1,884.90","1,868.10","","-0.65%"
"05/19/2014","1,885.10","1,876.70","1,886.00","1,872.40","","0.38%"
"05/16/2014","1,877.90","1,871.20","1,878.30","1,864.80","","0.38%"
"05/15/2014","1,870.80","1,888.20","1,888.20","1,862.40","","-0.94%"
"05/14/2014","1,888.50","1,897.10","1,897.10","1,885.80","","-0.47%"
"05/13/2014","1,897.50","1,896.80","1,902.20","1,896.10","","0.04%"
"05/12/2014","1,896.70","1,880.00","1,897.10","1,880.00","","0.97%"
"05/09/2014","1,878.50","1,875.30","1,878.60","1,867.00","","0.15%"
"05/08/2014","1,875.60","1,877.40","1,889.10","1,870.00","","-0.14%"
"05/07/2014","1,878.20","1,868.50","1,878.80","1,859.80","","0.56%"
"05/06/2014","1,867.70","1,883.70","1,883.70","1,867.70","","-0.90%"
"05/05/2014","1,884.70","1,879.50","1,885.50","1,866.80","","0.19%"
"05/02/2014","1,881.10","1,885.30","1,891.30","1,878.50","","-0.14%"
"05/01/2014","1,883.70","1,884.40","1,888.60","1,878.00","","-0.02%"
"04/30/2014","1,884.00","1,877.10","1,885.20","1,872.70","","0.30%"
"04/29/2014","1,878.30","1,870.80","1,880.60","1,870.80","","0.48%"
"04/28/2014","1,869.40","1,865.00","1,877.00","1,850.60","","0.32%"
"04/25/2014","1,863.40","1,877.70","1,877.70","1,859.70","","-0.81%"
"04/24/2014","1,878.60","1,882.00","1,884.10","1,870.20","","0.17%"
"04/23/2014","1,875.40","1,879.30","1,879.80","1,873.90","","-0.22%"
"04/22/2014","1,879.50","1,872.60","1,884.90","1,872.60","","0.41%"
"04/21/2014","1,871.90","1,865.80","1,871.90","1,863.20","","0.38%"
"04/17/2014","1,864.80","1,861.70","1,869.60","1,856.70","","0.13%"
"04/16/2014","1,862.30","1,846.00","1,862.30","1,846.00","","1.05%"
"04/15/2014","1,843.00","1,831.50","1,844.00","1,816.30","","0.68%"
"04/14/2014","1,830.60","1,818.20","1,834.20","1,815.80","","0.82%"
"04/11/2014","1,815.70","1,830.70","1,835.10","1,814.40","","-0.95%"
